SentenceIndex	DocumentId	Entity	Relation	Slotfill	Correct	Incorrect	Sentence
5837	APW_ENG_20070202.1273.LDC2009T13	Sen. Chris Dodd-3	jobTitle	sen.-1	1		Sen. Chris Dodd asked for a chance to be heard in a race that includes stars Obama and New York Sen. Hillary Rodham Clinton.
5837	APW_ENG_20070202.1273.LDC2009T13	New York Sen. Hillary Rodham Clinton-24	province	new york-20	1		Sen. Chris Dodd asked for a chance to be heard in a race that includes stars Obama and New York Sen. Hillary Rodham Clinton.
5837	APW_ENG_20070202.1273.LDC2009T13	New York Sen. Hillary Rodham Clinton-24	jobTitle	sen.-21	1		Sen. Chris Dodd asked for a chance to be heard in a race that includes stars Obama and New York Sen. Hillary Rodham Clinton.
5856	APW_ENG_20070204.0494.LDC2009T13	Palestinian ambassador-3	nationality	palestinian-2	1		The Palestinian ambassador to Saudi Arabia, Jamal Shobaki, said the meeting will be open-ended and will focus on hammering out a platform for a national unity government and distributing Cabinet portfolios.
5977	APW_ENG_20070215.0123.LDC2009T13	President Lansana Conte-19	jobTitle	president-17	1		Along with opposition politicians and other union heads, Diallo has demanded in recent days that President Lansana Conte resign from power.
5980	APW_ENG_20070215.0123.LDC2009T13	Conakry's League of Human Rights-12	city	conakry-7	1		Thierno Madjou Sow, president of Conakry's League of Human Rights, said the deaths since Saturday bring his group's tally to at least 120 killed since a first general strike began in mid- January.
5999	APW_ENG_20070215.0123.LDC2009T13	U.S. citizens-16	nationality	u.s.-15	1		The U.S. Embassy ordered all staff family members to leave Guinea and urged private U.S. citizens to go as well.
6071	APW_ENG_20070220.1046.LDC2009T13	South Africa's environment minister-5	nationality	south africa-2	1		South Africa's environment minister on Tuesday announced a long- awaited clampdown on big-game hunting, declaring he was sickened by wealthy tourists shooting tame lions from the back of a truck and felling rhinos with a bow and arrow.
6094	APW_ENG_20070220.1046.LDC2009T13	Stewart Dorrington, president of the hunting body-23	jobTitle	president-19	1		"A small sector has given the whole industry a bad name," said Stewart Dorrington, president of the hunting body.
6114	APW_ENG_20070221.1497.LDC2009T13	Christian Democrats-28	religion	christian-27	1		The government lost the Senate motion by two votes, despite Foreign Minister Massimo D'Alema's calling for the coalition's forces -- which range from Christian Democrats to Communists -- to support Prodi's policies, including Italy's continued mission in Afghanistan.
6128	APW_ENG_20070221.1497.LDC2009T13	Catholic Church-45	religion	catholic-44	1		Prodi is an economist and former head of a now defunct Italian state industrial conglomerate who is generally pro-Vatican, although recent approval by his government for a proposed law to give some legal rights to same-sex and other unmarried couples angered the Catholic Church.
6145	APW_ENG_20070223.0959.LDC2009T13	Former Iowa Gov. Tom Vilsack-5	province	iowa-2	1		Former Iowa Gov. Tom Vilsack is abandoning his bid for the presidency after struggling against better-known, better-financed Democratic rivals, a senior campaign official told The Associated Press on Friday.
6162	APW_ENG_20070228.0075.LDC2009T13	Anglican Communion-19	religion	anglican-18	1		The Church of England's assembly votes Wednesday on an issue that has deeply divided the global Anglican Communion: how members should interpret Scripture on sexuality.
6167	APW_ENG_20070228.0075.LDC2009T13	Episcopal Church-8	religion	episcopal-7	1		The meeting ended by giving the Episcopal Church until Sept. 30 to pledge unequivocally not to consecrate another gay bishop or approve an official prayer service for blessing same-sex couples.
6169	APW_ENG_20070228.0075.LDC2009T13	Anglican Communion-4	religion	anglican-3	1		The global Anglican Communion, including the U.S.-based Episcopalians, has 77 million members, and they have spent years debating how Scripture should be interpreted on salvation, truth and sexuality.
6173	APW_ENG_20070228.0075.LDC2009T13	Anglican Communion-13	religion	anglican-12	1		But he said they should not be allowed to divide the Anglican Communion.
6211	APW_ENG_20070301.0788.LDC2009T13	American spokesman John Hotard-19	nationality	american-16	1		The change applies to domestic flights and to international flights leaving the U.S., said American spokesman John Hotard.
6222	APW_ENG_20070302.0519.LDC2009T13	lawyer John Courtney-13	jobTitle	lawyer-11	1		"It didn't mean anything to me," lawyer John Courtney told his former client, Che Sosa, on Thursday.
6235	APW_ENG_20070302.0701.LDC2009T13	President Vladimir Putin-3	jobTitle	president-1	1		President Vladimir Putin said Friday that a storage facility for Russian natural gas could be built in Belgium to make it a hub for gas exports to Europe.
6248	APW_ENG_20070302.0793.LDC2009T13	Serbian and Kosovo Albanian leaders-22	nationality	albanian-21	1		Martti Ahtisaari told reporters that the talks in Vienna were over, and that he had invited Serbian and Kosovo Albanian leaders to Vienna on March 10 for a final meeting before he sends the package to the U.N. Security Council, which has the final say on Kosovo's future status.
6248	APW_ENG_20070302.0793.LDC2009T13	Serbian and Kosovo Albanian leaders-22	nationality	kosovo-20	1		Martti Ahtisaari told reporters that the talks in Vienna were over, and that he had invited Serbian and Kosovo Albanian leaders to Vienna on March 10 for a final meeting before he sends the package to the U.N. Security Council, which has the final say on Kosovo's future status.
6253	APW_ENG_20070302.0793.LDC2009T13	Kosovo's deputy prime minister, Lutfi Haziri-8	nationality	kosovo-1	1		Kosovo's deputy prime minister, Lutfi Haziri, conceded the final round produced "no movement in bringing the sides closer."
6258	APW_ENG_20070302.0793.LDC2009T13	Serbia's foreign minister, Vuk Draskovic-7	nationality	serbia-1	1		Serbia's foreign minister, Vuk Draskovic, said in Zagreb, Croatia, that his country would never accept the "forcible reshaping" of its internationally recognized borders.
6277	APW_ENG_20070303.0613.LDC2009T13	Afghan foreign minister-3	nationality	afghan-1	1		Afghan foreign minister says Pakistan uses terror as foreign policy
6280	APW_ENG_20070303.0613.LDC2009T13	Foreign Minister Rangeen Dadfar Spanta-5	jobTitle	foreign minister-2	1		Foreign Minister Rangeen Dadfar Spanta said the international community was rewarding Pakistan with aid packages even though it supports Taliban fighters.
6283	APW_ENG_20070303.0613.LDC2009T13	Afghan officials-2	nationality	afghan-1	1		Afghan officials frequently accuse Pakistani leaders of harboring Taliban fighters and commanders, though Pakistan's government insists it does all it can to fight terrorism.
6283	APW_ENG_20070303.0613.LDC2009T13	Pakistani leaders-6	nationality	pakistani-5	1		Afghan officials frequently accuse Pakistani leaders of harboring Taliban fighters and commanders, though Pakistan's government insists it does all it can to fight terrorism.
6284	APW_ENG_20070303.0613.LDC2009T13	Pakistani intelligence officials-3	nationality	pakistani-1	1		Pakistani intelligence officials say one of the Taliban's top leaders -- Mullah Obaidullah Akhund -- was arrested in Quetta on Monday, the highest-ranking Afghan militant to be captured since the fall of the hardline regime in 2001.
6288	APW_ENG_20070303.0613.LDC2009T13	Afghan media members-6	nationality	afghan-4	1		However, several Afghan media members were recording the conversation and later broadcast the comments.
6289	APW_ENG_20070303.0613.LDC2009T13	Davood Muradian, a senior adviser-6	jobTitle	senior adviser-6	1		Davood Muradian, a senior adviser to Spanta, said there was "nothing new" in Spanta's comments.
6327	APW_ENG_20070306.0867.LDC2009T13	Mohamud Burale Coon, a shop owner-36	jobTitle	shop owner-36	1		A police commander and another officer were ambushed late Monday at a major intersection in the center of Mogadishu and two bystanders were wounded in the fire fight, Mohamud Burale Coon, a shop owner, said.
6328	APW_ENG_20070306.0867.LDC2009T13	brother, who was the top cleric in one of Mogadishu's main mosques-19	jobTitle	cleric-12	1		Maslah Mohamed Abdi said his brother, who was the top cleric in one of Mogadishu's main mosques, was killed outside his home.
6335	APW_ENG_20070306.0867.LDC2009T13	Somali government spokesman-4	nationality	somali-2	1		A Somali government spokesman, meanwhile, said local police are prepared to fight the insurgency and crime wave.
6384	APW_ENG_20070309.0499.LDC2009T13	Hindu nationalists-2	religion	hindu-1	1		Hindu nationalists stormed the sets of Water in 2000 when director Deepa Mehta, who lives in Toronto, was filming in Varanasi, Hinduism's holiest city.
6389	APW_ENG_20070309.0509.LDC2009T13	Palestinian civilians-11	nationality	palestinian-10	1		In new charges, Israeli group says troops used Palestinian civilians as human shields
6436	APW_ENG_20070312.0704.LDC2009T13	Detective Bradley R. Graham-15	jobTitle	detective-12	1		All 23 were charged with criminal obstruction, a misdemeanor, Detective Bradley R. Graham said.
6449	APW_ENG_20070314.1411.LDC2009T13	world champion Oscar Freire of Spain-7	nationality	spain-7	1		Three-time world champion Oscar Freire of Spain finished second, two seconds behind, and Thor Hushovd of Norway was third with the same time.
6449	APW_ENG_20070314.1411.LDC2009T13	Thor Hushovd of Norway-19	nationality	norway-19	1		Three-time world champion Oscar Freire of Spain finished second, two seconds behind, and Thor Hushovd of Norway was third with the same time.
6465	APW_ENG_20070315.0606.LDC2009T13	President Mahmoud Abbas-21	jobTitle	president-19	1		On Thursday, Prime Minister Ismail Haniyeh of Hamas was to present the list of Cabinet ministers to President Mahmoud Abbas.
6498	APW_ENG_20070315.0606.LDC2009T13	Secretary of State Condoleezza Rice-8	jobTitle	secretary of state-6	1		Also, U.S. Secretary of State Condoleezza Rice is expected in the region at the end of next week as part of a push to restart peace efforts.
6498	APW_ENG_20070315.0606.LDC2009T13	U.S. Secretary of State Condoleezza Rice-8	nationality	u.s.-3	1		Also, U.S. Secretary of State Condoleezza Rice is expected in the region at the end of next week as part of a push to restart peace efforts.
6528	APW_ENG_20070317.0293.LDC2009T13	Palestinian lawmakers-2	nationality	palestinian-1	1		Palestinian lawmakers cannot meet in one place because of Israeli travel bans.
6531	APW_ENG_20070317.0293.LDC2009T13	Palestinian President Mahmoud Abbas of Fatah-27	nationality	palestinian-22	1		The government "respects" previous international agreements reached by the PLO and calls for peace talks to be conducted by moderate Palestinian President Mahmoud Abbas of Fatah.
6561	APW_ENG_20070319.0883.LDC2009T13	Detective Marc Cooper-3	jobTitle	detective-1	1		Detective Marc Cooper, who fired four shots, faces a misdemeanor endangerment charge, Brown said.
6577	APW_ENG_20070320.0207.LDC2009T13	President Hosni Mubarak-3	jobTitle	president-1	1		President Hosni Mubarak has billed the changes Monday as part of a reform package aimed at increasing democracy in the country he has ruled unchallenged for a quarter century.
6605	APW_ENG_20070320.0207.LDC2009T13	Foreign Minister Ahmed Aboul Gheit-5	jobTitle	foreign minister-2	1		Foreign Minister Ahmed Aboul Gheit bluntly rejected the criticism, saying outsiders don't have the right to "even express their opinion" on Egypt's constitution.
6626	APW_ENG_20070323.1462.LDC2009T13	Andreas Seppi, Italy-4	nationality	italy-4	1		Andreas Seppi, Italy, 7-5, 7-5.
6627	APW_ENG_20070323.1462.LDC2009T13	Arnaud Clement, France-4	nationality	france-4	1		Arnaud Clement, France, def.
6628	APW_ENG_20070323.1462.LDC2009T13	Albert Montanes, Spain-4	nationality	spain-4	1		Albert Montanes, Spain, 6-4, 6-1.
6629	APW_ENG_20070323.1462.LDC2009T13	Gaston Gaudio, Argentina-4	nationality	argentina-4	1		Gaston Gaudio, Argentina, def.
6631	APW_ENG_20070323.1462.LDC2009T13	Fabrice Santoro, France-4	nationality	france-4	1		Fabrice Santoro, France, def.
6632	APW_ENG_20070323.1462.LDC2009T13	Christophe Rochus, Belgium-4	nationality	belgium-4	1		Christophe Rochus, Belgium, 5-7, 7-5, 6-2.
6635	APW_ENG_20070323.1462.LDC2009T13	Alejandro Falla, Colombia-4	nationality	colombia-4	1		Alejandro Falla, Colombia, def.
6636	APW_ENG_20070323.1462.LDC2009T13	Sergio Roitman, Argentina-4	nationality	argentina-4	1		Sergio Roitman, Argentina, 4-6, 6-3, 6-1.
6639	APW_ENG_20070323.1462.LDC2009T13	Juan Monaco, Argentina-4	nationality	argentina-4	1		Juan Monaco, Argentina, 6-2, 6-2.
6641	APW_ENG_20070323.1462.LDC2009T13	Raemon Sluiter, Netherlands-4	nationality	netherlands-4	1		Raemon Sluiter, Netherlands, 6-4, 6-4.
6645	APW_ENG_20070323.1462.LDC2009T13	Jurgen Melzer, Austria-4	nationality	austria-4	1		Jurgen Melzer, Austria, 6-0, 7-5.
6647	APW_ENG_20070323.1462.LDC2009T13	Guillermo Garcia-Lopez, Spain-4	nationality	spain-4	1		Guillermo Garcia-Lopez, Spain, 6-3, 6-4.
6651	APW_ENG_20070323.1462.LDC2009T13	Nicole Pratt, Australia-4	nationality	australia-4	1		Nicole Pratt, Australia, 6-3, 3-6, 6-3.
6655	APW_ENG_20070323.1462.LDC2009T13	Eleni Daniilidou, Greece-4	nationality	greece-4	1		Eleni Daniilidou, Greece, 6-4, 6-3.
6672	APW_ENG_20070323.1462.LDC2009T13	Laura Granville, United States-5	nationality	united states-5	1		Laura Granville, United States, 6-1, 6-1.
6674	APW_ENG_20070323.1462.LDC2009T13	Jill Craybas, United States-5	nationality	united states-5	1		Jill Craybas, United States, 6-3, 6-1.
6675	APW_ENG_20070327.0685.LDC2009T13	Philippine cardinal-2	nationality	philippine-1	1		Philippine cardinal calls for an end to political killings -- by military and rebels
6730	APW_ENG_20070328.1248.LDC2009T13	British sailors-11	nationality	british-10	1		Iran broadcast the first pictures Wednesday of the 15 British sailors and marines it seized last week, including a female captive who wore a white tunic and a black head scarf and said the British boats had "trespassed" in Iranian waters.
6734	APW_ENG_20070328.1248.LDC2009T13	British sailor Faye Turney-19	nationality	british-16	1		In the footage aired by Al-Alam, an Arabic-language, Iranian state-run television station, British sailor Faye Turney contradicts her government's claim that the team had not entered Iranian waters.
6745	APW_ENG_20070328.1248.LDC2009T13	Iranian Foreign Minister Manouchehr Mottaki-5	jobTitle	foreign minister-3	1		Iranian Foreign Minister Manouchehr Mottaki, speaking during an Arab leaders summit meeting in Riyadh, Saudi Arabia, had said that Turney -- the only female crew member -- could be released later on Wednesday or on Thursday.
6745	APW_ENG_20070328.1248.LDC2009T13	Iranian Foreign Minister Manouchehr Mottaki-5	nationality	iranian-1	1		Iranian Foreign Minister Manouchehr Mottaki, speaking during an Arab leaders summit meeting in Riyadh, Saudi Arabia, had said that Turney -- the only female crew member -- could be released later on Wednesday or on Thursday.
6746	APW_ENG_20070328.1248.LDC2009T13	Prime Minister Tony Blair-4	jobTitle	prime minister-2	1		Prime Minister Tony Blair called the capture of the 15 Royal Navy crew "unacceptable, wrong and illegal."
6752	APW_ENG_20070328.1248.LDC2009T13	British Prime Minister Tony Blair-9	nationality	british-5	1		President Bush spoke to British Prime Minister Tony Blair over a secured video conference call about the standoff Wednesday.
6752	APW_ENG_20070328.1248.LDC2009T13	President Bush-2	jobTitle	president-1	1		President Bush spoke to British Prime Minister Tony Blair over a secured video conference call about the standoff Wednesday.
6752	APW_ENG_20070328.1248.LDC2009T13	British Prime Minister Tony Blair-9	jobTitle	prime minister-7	1		President Bush spoke to British Prime Minister Tony Blair over a secured video conference call about the standoff Wednesday.
6792	APW_ENG_20070404.0794.LDC2009T13	British sailors-5	nationality	british-4	1		Iranian president says British sailors will be freed shortly
6792	APW_ENG_20070404.0794.LDC2009T13	Iranian president-2	nationality	iranian-1	1		Iranian president says British sailors will be freed shortly
6793	APW_ENG_20070404.0794.LDC2009T13	Iranian President Mahmoud Ahmadinejad-8	nationality	iranian-5	1		TEHRAN, Iran -- Iranian President Mahmoud Ahmadinejad announces that his government will release the 15 detained British sailors and marines as an Easter gift to the British people.
6793	APW_ENG_20070404.0794.LDC2009T13	British sailors-19	nationality	british-18	1		TEHRAN, Iran -- Iranian President Mahmoud Ahmadinejad announces that his government will release the 15 detained British sailors and marines as an Easter gift to the British people.
6793	APW_ENG_20070404.0794.LDC2009T13	Iranian President Mahmoud Ahmadinejad-8	jobTitle	president-6	1		TEHRAN, Iran -- Iranian President Mahmoud Ahmadinejad announces that his government will release the 15 detained British sailors and marines as an Easter gift to the British people.
6794	APW_ENG_20070404.0794.LDC2009T13	Iranian diplomat-3	nationality	iranian-2	1		An Iranian diplomat in London says the 15 would be handed over to the British Embassy in Tehran.
6798	APW_ENG_20070404.0794.LDC2009T13	Syria's Assad-7	nationality	syria-5	1		House Speaker Pelosi meets Syria's Assad despite Bush objections
6828	APW_ENG_20070404.0794.LDC2009T13	Palestinian foreign minister-36	nationality	palestinian-34	1		VIENNA, Austria -- Israeli Prime Minister Ehud Olmert is not ready for serious negotiations with the Palestinians and other Arab leaders on efforts to forge peace in the Middle East, the Palestinian foreign minister says.
6828	APW_ENG_20070404.0794.LDC2009T13	Israeli Prime Minister Ehud Olmert-9	nationality	israeli-5	1		VIENNA, Austria -- Israeli Prime Minister Ehud Olmert is not ready for serious negotiations with the Palestinians and other Arab leaders on efforts to forge peace in the Middle East, the Palestinian foreign minister says.
6828	APW_ENG_20070404.0794.LDC2009T13	Israeli Prime Minister Ehud Olmert-9	jobTitle	prime minister-7	1		VIENNA, Austria -- Israeli Prime Minister Ehud Olmert is not ready for serious negotiations with the Palestinians and other Arab leaders on efforts to forge peace in the Middle East, the Palestinian foreign minister says.
6829	APW_ENG_20070404.0794.LDC2009T13	Israeli partner-8	nationality	israeli-7	1		"We don't have an Israeli partner anymore," Ziad Abu Amr says during a stop in the Austrian capital.
6847	APW_ENG_20070404.0794.LDC2009T13	Somali residents-2	nationality	somali-1	1		Somali residents use a lull in fighting to bury their dead
6864	APW_ENG_20070404.0794.LDC2009T13	Tamil Tiger-5	nationality	tamil-4	1		Air force bombs Tamil Tiger naval headquarters in northern Sri Lanka: military
6933	APW_ENG_20070407.0266.LDC2009T13	Palestinian militant-24	nationality	palestinian-23	1		An Israeli helicopter launched an airstrike along the Gaza Strip's border with Israel early Saturday, officials said, killing a Palestinian militant and wounding two others and further straining a fragile cease-fire.
6944	APW_ENG_20070407.0266.LDC2009T13	Palestinian gunman-6	nationality	palestinian-5	1		On Wednesday, a Palestinian gunman was killed in an exchange of fire with Israeli troops in an area where militants frequently fire rockets toward Israel.
6947	APW_ENG_20070407.0266.LDC2009T13	Prime Minister Ehud Olmert-4	jobTitle	prime minister-2	1		Prime Minister Ehud Olmert has so far refused to authorize such an operation.
6954	APW_ENG_20070407.0266.LDC2009T13	Israeli woman, Tali Fahima-14	nationality	israeli-10	1		He is best known for his friendship with an Israeli woman, Tali Fahima, who was jailed for more than two years on charges she shared classified information with Zubeydi.
6958	APW_ENG_20070409.0043.LDC2009T13	Italian journalist-16	nationality	italian-15	1		Separately, a purported spokesman for the Taliban said the kidnapped translator for an Italian journalist was beheaded Sunday.
6961	APW_ENG_20070409.0043.LDC2009T13	Canadian Prime Minister Stephen Harper-5	jobTitle	prime minister-3	1		Canadian Prime Minister Stephen Harper confirmed they were Canadian troops, Canadian Press reported.
6961	APW_ENG_20070409.0043.LDC2009T13	Canadian Prime Minister Stephen Harper-5	nationality	canadian-1	1		Canadian Prime Minister Stephen Harper confirmed they were Canadian troops, Canadian Press reported.
6968	APW_ENG_20070409.0043.LDC2009T13	Italian journalist Daniele Mastrogiacomo-10	nationality	italian-7	1		He had been kidnapped along with Italian journalist Daniele Mastrogiacomo and a driver, who had been beheaded earlier.
6985	APW_ENG_20070410.1406.LDC2009T13	Chicago Vocational Career Academy-8	city	chicago-5	1		The shooting at the Chicago Vocational Career Academy occurred around 2:30 p.m., police spokeswoman Monique Bond said.
6990	APW_ENG_20070412.0402.LDC2009T13	Chicago White Sox-28	city	chicago-26	1		Darin Erstad hit a go-ahead sacrifice fly in the ninth after Jermaine Dye connected for a tying two-run homer an inning earlier, and the Chicago White Sox beat the Oakland Athletics 6-3 on Wednesday.
7023	APW_ENG_20070412.0402.LDC2009T13	New York starter Mike Mussina-5	province	new york-2	1		New York starter Mike Mussina strained his left hamstring and departed in the third inning.
7075	APW_ENG_20070414.0635.LDC2009T13	Ugandan President Yoweri Museveni-21	nationality	ugandan-18	1		The Lord's Resistance Army is made up of the remnants of a rebellion that began after Ugandan President Yoweri Museveni took power in 1986.
7075	APW_ENG_20070414.0635.LDC2009T13	Ugandan President Yoweri Museveni-21	jobTitle	president-19	1		The Lord's Resistance Army is made up of the remnants of a rebellion that began after Ugandan President Yoweri Museveni took power in 1986.
7083	APW_ENG_20070416.1157.LDC2009T13	Romeo Kreinberg, a divisional executive vice president-43	jobTitle	vice president-43	1		Andrew Liveris, the company's chairman and chief executive officer, said Thursday that Reinhard, who retired as the Midland, Michigan-based chemical giant's chief financial officer in October 2005, and Romeo Kreinberg, a divisional executive vice president, were dismissed with the approval of the board of directors.
7113	APW_ENG_20070418.1355.LDC2009T13	Filipino citizens-30	nationality	filipino-29	1		Peace Corps director Ron Tschetter said Campbell, who was among the organization's 137 volunteers currently in the Philippines, "contributed greatly to the lives of Filipino citizens."
7134	APW_ENG_20070423.0312.LDC2009T13	Iranian nuclear negotiator-10	nationality	iranian-8	1		EU ' s Solana to meet with Iranian nuclear negotiator in Ankara Wednesday
7136	APW_ENG_20070423.0312.LDC2009T13	Javier Solana, the EU's foreign policy chief-9	nationality	eu-5	1		Javier Solana, the EU's foreign policy chief, will meet with top Iranian negotiator Ali Larijani Wednesday in Ankara to see if Iran can be persuaded to halt uranium enrichment in exchange for negotiations about economic incentives.
7170	APW_ENG_20070423.1050.LDC2009T13	American Soldier-7	nationality	american-6	1		and "I Am an American Soldier: One Year in Iraq in the 101st Airborne," for which filmmaker John Laurence documented soldiers' lives for 14 months.
7170	APW_ENG_20070423.1050.LDC2009T13	filmmaker John Laurence-23	jobTitle	filmmaker-21	1		and "I Am an American Soldier: One Year in Iraq in the 101st Airborne," for which filmmaker John Laurence documented soldiers' lives for 14 months.
7208	APW_ENG_20070429.0018.LDC2009T13	Wazir Padshah, a spokesman-23	jobTitle	spokesman-23	1		The police and Taliban engaged in an hour-long gunbattle in Khost province's Alishar district Saturday, said Wazir Padshah, a spokesman for the provincial police.
7269	APW_ENG_20070502.0032.LDC2009T13	Russian protesters-17	nationality	russian-16	1		The Estonian capital was rocked by violent clashes last week between riot police and ethnic Russian protesters, angered by the government's decision to move the Bronze Soldier, a statue honoring Soviet troops killed during World War II.
7273	APW_ENG_20070502.0032.LDC2009T13	Leonid Slutsky, vice chairman of the Duma's foreign affairs committee-19	jobTitle	vice chairman-12	1		The delegation from Moscow, headed by Leonid Slutsky, vice chairman of the Duma's foreign affairs committee, placed a wreath of flowers at the statue Tuesday, a day after it was re-erected at a military cemetery outside the city center.
7284	APW_ENG_20070502.0032.LDC2009T13	Russian speakers-3	nationality	russian-2	1		While Russian speakers in the Baltic states enjoyed advantages under Soviet rule, many now struggle to get education, deal with government offices and get jobs amid a resurgence in native languages and inroads by English.
7312	APW_ENG_20070503.1093.LDC2009T13	Tamil rebels-26	nationality	tamil-25	1		The jackets were found Wednesday in the peak of the 42-foot (12.6-meter) -tall temple in Kokkadichcholai village which was recently captured from Tamil rebels in Batticaloa district, the Defense Ministry said.
7313	APW_ENG_20070503.1093.LDC2009T13	Indian Prime Minister Rajiv Gandhi-17	jobTitle	prime minister-15	1		Tamil Tiger suicide bombers have killed former President Ranasinghe Premadasa, former Indian Prime Minister Rajiv Gandhi, and other political and military leaders.
7313	APW_ENG_20070503.1093.LDC2009T13	Indian Prime Minister Rajiv Gandhi-17	nationality	indian-13	1		Tamil Tiger suicide bombers have killed former President Ranasinghe Premadasa, former Indian Prime Minister Rajiv Gandhi, and other political and military leaders.
7313	APW_ENG_20070503.1093.LDC2009T13	President Ranasinghe Premadasa-10	jobTitle	president-8	1		Tamil Tiger suicide bombers have killed former President Ranasinghe Premadasa, former Indian Prime Minister Rajiv Gandhi, and other political and military leaders.
7315	APW_ENG_20070503.1093.LDC2009T13	predominantly Buddhist Sinhalese-12	religion	buddhist-11	1		The Tamils have faced decades of discrimination from the predominantly Buddhist Sinhalese, who comprise a majority of the Indian Ocean island nation's 19 million people.
7357	APW_ENG_20070509.1265.LDC2009T13	Vice President Francisco Santos-7	jobTitle	vice president-5	1		In Bogota, Vice President Francisco Santos said Tuesday his country "might need to re-evaluate its relationship with the United States" if the trade pact is jettisoned.
7364	APW_ENG_20070509.1265.LDC2009T13	President George W. Bush-9	jobTitle	president-6	1		Uribe was welcomed warmly by President George W. Bush and other administration officials.
7377	APW_ENG_20070514.1001.LDC2009T13	Abdallah S. Jum'ah, president and CEO of Saudi Aramco-34	jobTitle	president-29	1		The massive project would help expand Saudi Arabia's economic base, create jobs and promote economic diversification in the country, said Abdallah S. Jum'ah, president and CEO of Saudi Aramco.
7392	APW_ENG_20070515.1038.LDC2009T13	President-elect Nicolas Sarkozy-3	jobTitle	president-elect-1	1		President-elect Nicolas Sarkozy faced his first political hurdle even before taking office Wednesday, with members of his own conservative party irked by plans to include rival Socialists in a government spanning the left-right divide.
7400	APW_ENG_20070515.1038.LDC2009T13	Socialist President Francois Mitterrand-24	jobTitle	president-22	1		On Tuesday afternoon, Anne Lauvergeon, head of the nuclear group Areva and once a top adviser of former Socialist President Francois Mitterrand, was seen entering Sarkozy's office.
7420	APW_ENG_20070515.1727.LDC2009T13	New York Giants-20	province	new york-19	1		More than half a million ticket requests poured in soon after league commissioner Roger Goodell announced the New York Giants would play the Miami Dolphins at the new Wembley Stadium in London.
7427	APW_ENG_20070515.1727.LDC2009T13	American fans-22	nationality	american-21	1		The rest will go on sale once team and league officials weigh the amount of interest the game generates among American fans and those abroad.
7430	APW_ENG_20070515.1727.LDC2009T13	Manchester United-31	city	manchester-30	1		Prices range from about $90 (euro66.50) to $180 (euro133), using a pricing structure similar to this weekend's FA Cup final between Manchester United and Chelsea.
7471	APW_ENG_20070523.1557.LDC2009T13	Indonesia's Arema Malang-22	nationality	indonesia-19	1		Kawasaki topped the group with 16 points, followed by South Korea's Chunnam Dragons with 10, Indonesia's Arema Malang with 4, and Bangkok University finishing bottom with 3 points.
7471	APW_ENG_20070523.1557.LDC2009T13	Bangkok University-28	city	bangkok-27	1		Kawasaki topped the group with 16 points, followed by South Korea's Chunnam Dragons with 10, Indonesia's Arema Malang with 4, and Bangkok University finishing bottom with 3 points.
7471	APW_ENG_20070523.1557.LDC2009T13	South Korea's Chunnam Dragons-15	nationality	south korea-12	1		Kawasaki topped the group with 16 points, followed by South Korea's Chunnam Dragons with 10, Indonesia's Arema Malang with 4, and Bangkok University finishing bottom with 3 points.
7503	APW_ENG_20070530.0738.LDC2009T13	Australian geologist-2	nationality	australian-1	1		Australian geologist says strong earthquakes likely in Kashmir
7519	APW_ENG_20070601.0485.LDC2009T13	Fitzpatrick, a former deputy assistant secretary-29	jobTitle	deputy assistant secretary-29	1		"This is the classic low-probability, high-consequence danger that governments must focus a great deal of attention" on, said Fitzpatrick, a former deputy assistant secretary for nonproliferation at the U.S. State Department.
7564	APW_ENG_20070602.0097.LDC2009T13	Canadian Heritage Minister Bev Oda-5	nationality	canadian-1	1		Canadian Heritage Minister Bev Oda said the legislation averts a Warner Bros. threat to cancel Canadian preview showings of likely summer hits such as the latest Harry Potter sequel.
7568	APW_ENG_20070602.0827.LDC2009T13	Danish fan-18	nationality	danish-17	1		Sweden was awarded a 3-0 win Saturday over Denmark in a European Championship qualifier after a Danish fan tried to attack the referee for giving a late penalty.
7570	APW_ENG_20070602.0827.LDC2009T13	Danish players-12	nationality	danish-11	1		A spectator ran toward Fandel, but was intercepted by Danish players.
7580	APW_ENG_20070609.0341.LDC2009T13	Fatah Islam militants-43	religion	islam-42	1		Black smoke billowed from the Nahr el-Bared camp in northern Lebanon where witnesses reported some of the heaviest army shelling since June 1, when the Lebanese army -- using tanks and artillery -- launched an offensive to drive the Fatah Islam militants from their positions inside the settlement.
7589	APW_ENG_20070609.0341.LDC2009T13	Abu Hureira, Fatah Islam's deputy commander-20	religion	islam-17	1		... We are on the front lines across from them," Abu Hureira, Fatah Islam's deputy commander, told The Associated Press by telephone from inside the camp.
7590	APW_ENG_20070609.0341.LDC2009T13	Fatah Islam leader Shaker Youssef al-Absi-25	religion	islam-21	1		Abu Hureira, whose real name is Shehab al-Qaddour, dismissed as "rumors" media reports that he and Fatah Islam leader Shaker Youssef al-Absi, were wounded.
7592	APW_ENG_20070609.0341.LDC2009T13	Fatah Islam fighters-17	religion	islam-16	1		He said the militants were still fighting with the same tenacity, claiming that Fatah Islam fighters attacked an army position on the northern edge of the camp Friday and seizing weapons from Lebanese army soldiers.
