Extraction Index	Sentence Index	DocId	Entity(NP)	Relation	Slotfill(tag)	Sentence
78	17461	NYT_ENG_20071231.0111.LDC2009T13	NULL			Over the weekend, she responded sharply to these jabs, noting that she was the first high-level American to go to Bosnia after the Dayton peace accords.
79	11355	APW_ENG_20080813.0002.LDC2009T13	NULL			'Tree-killing bug menaces Europe''s pine forests'
80	10838	APW_ENG_20080706.0392.LDC2009T13	NULL			3
81	879	AFP_ENG_20070502.0586.LDC2009T13	NULL			The prize asset of Dow Jones &amp
82	18791	NYT_ENG_20080508.0246.LDC2009T13	NULL			'I''ve planned for contingencies."'
83	3290	AFP_ENG_20080916.0850.LDC2009T13	NULL			'Obama asked at a campaign event in Colorado, as his supporters immediately branded McCain as out of touch and the inheritor to the Bush administration''s economic legacy.'
84	16948	NYT_ENG_20070917.0130.LDC2009T13	NULL			In a bid to shore up confidence, Darling announced Monday that the government would guarantee all deposits in Northern Rock even if the bank should collapse and would extend similar guarantees to any other troubled financial institution that approached the government.
85	16426	NYT_ENG_20070625.0073.LDC2009T13	NULL			Staying strong
86	7450	APW_ENG_20070904.0656.LDC2009T13	NULL			Another 1,000 people were removed from low-lying coastal areas and smaller islands.
87	11290	APW_ENG_20080813.0002.LDC2009T13	NULL			In the South, in California, and even in New York City, you might see colors well into November.
88	3907	AFP_ENG_20081221.0104.LDC2009T13	NULL			A senior Israeli defence official told AFP that a major military confrontation in the besieged territory was unavoidable.
89	14037	LTW_ENG_20071202.0013.LDC2009T13	NULL			'"Our government doesn''t have any sovereignty.'
90	21301	XIN_ENG_20080110.0023.LDC2009T13	NULL			A manager of the Hong Kong-invested company that produced hardware and plastic in the outer Longgang District in the Guangdong Province city, said the workers suffered headaches, nausea and vomiting after eating Chinese cabbage and kidney beans for lunch in the staff canteen.
91	253	AFP_ENG_20070207.0194.LDC2009T13	NULL			Under the proposal, auto makers would be required to limit average emissions across their fleet to 130 grammes per kilometer by improving the technology they use.
92	19169	NYT_ENG_20080721.0096.LDC2009T13	NULL			'"Patients are sick, they''re anxious, tired, frustrated," Engel said.'
93	2529	AFP_ENG_20080422.0407.LDC2009T13	NULL			'It was Dobriansky''s 12th meeting with the Dalai Lama aimed at finding a way to resolve the Tibet issue amicably, the US State Department said.'
94	940	AFP_ENG_20070510.0580.LDC2009T13	NULL			In 2006, 1,629 people died on Greek roads, according to the national statistics office (ESYE), an increase of 0.9 percent despite a decrease in the number of actual accidents.
95	10720	APW_ENG_20080522.0213.LDC2009T13	NULL			'Last year, both generals were integral to crafting and implementing Bush''s new military strategy in Iraq, which included the deployment of 30,000 additional troops.'
96	10453	APW_ENG_20080423.0015.LDC2009T13	NULL			'Traunstein -- TROWN''-styn'
97	20772	XIN_ENG_20070822.0387.LDC2009T13	NULL			The following are some of the major international news stories scheduled to be covered or pursued by Xinhua on Thursday.
98	17420	NYT_ENG_20071228.0212.LDC2009T13	NULL			'"No wonder I cry day after day, I am lonely without a friend, I feel locked up in a den, life is tragic I don''t know why."'
99	13264	LTW_ENG_20070404.0066.LDC2009T13	NULL			About 70 percent of cervical cancers can be prevented by the vaccine.
100	6785	APW_ENG_20070711.1665.LDC2009T13	NULL			The drug, which treats age-related macular degeneration, was approved last June.
101	3882	AFP_ENG_20081217.0764.LDC2009T13	NULL			TV on the Radio, "Dear Science": A third album from the avant- gardiste New Yorkers that propelled them from cult heroes to stardom, with a distinct sound that mixes ambient, electro, Afrobeat, hard guitar riffs and handclaps.
102	7940	APW_ENG_20070919.1310.LDC2009T13	NULL			Bowling: James Anderson 4-0-25-0 (4w), Stuart Broad 4-0-60-0 (2w), Andrew Flintoff 4-0-33-1 (1w), Dimitri Mascarenhas 1-0-15-0, Chris Tremlett 4-0-45-2 (1nb, 2w), Paul Collingwood 1-0-13-0, Darren Maddy 2-0-20-1.
103	15810	NYT_ENG_20070402.0104.LDC2009T13	NULL			KidPower, in the front atrium on the ground floor, gives children a chance to launch tennis balls by pulling a rope attached to a bowling ball.
104	13179	LTW_ENG_20070324.0050.LDC2009T13	NULL			'The Democratic presidential candidate had already announced@ that he was continuing his campaign, despite the recurrence of his wife''s cancer, when washingtonpost.com put up a headline at 12:32:20 p.m. Thursday: ``John Edwards Suspends White House Bid.'''''
105	9208	APW_ENG_20080118.0028.LDC2009T13	NULL			The U.S. has been wrestling with such perceptions of its plan to place 10 interceptors in Poland and a radar base in the Czech Republic since opening negotiations with the two countries early last year.
106	16771	NYT_ENG_20070824.0204.LDC2009T13	NULL			Lendl and John McEnroe also won three in a row.
107	10373	APW_ENG_20080423.0015.LDC2009T13	NULL			'Srinagar -- SREE''-nuh-gur'
108	15371	NYT_ENG_20070208.0083.LDC2009T13	NULL			Documentarian Harry Moses has got one in the eye-opening "Who the $.
109	13792	LTW_ENG_20071015.0003.LDC2009T13	NULL			Not knowing where else to go, Michelle heads upstairs to the PTSD offices.
110	6010	APW_ENG_20070422.0277.LDC2009T13	NULL			He told the Dubai-based station that he would even be willing to visit the Jewish state to help bring peace to the Middle East.
111	4676	APW_ENG_20070221.1461.LDC2009T13	NULL			While Venezuela held its fourth-place ranking among U.S. crude suppliers, the volume of 1.139 million barrels a day was the lowest in any year since 1994.
112	15261	NYT_ENG_20070115.0224.LDC2009T13	NULL			"It was tough, knowing that what happened gives people a misconception of me," Manning said.
113	5677	APW_ENG_20070325.0151.LDC2009T13	NULL			Boston lost that game 7-0 to start a four-game losing streak.
114	15674	NYT_ENG_20070401.0013.LDC2009T13	NULL			His students paid more attention to a funny paragraph than to a bunch of sentences.
115	3188	AFP_ENG_20080811.0245.LDC2009T13	NULL			'The main obstacle to England''s progress will be Croatia, who stopped Steve McClaren''s team reaching Euro 2008 when they won 3-2 at Wembley last year.'
116	11555	APW_ENG_20080814.0003.LDC2009T13	NULL			Matthew Lee, Pauline Jelinek and Lolita C. Baldor in Washington
117	5642	APW_ENG_20070325.0005.LDC2009T13	NULL			'Elan -- ee-LAHN'''
118	19234	NYT_ENG_20080727.0036.LDC2009T13	NULL			-- DAVID G. ALLAN
119	20490	XIN_ENG_20070409.0245.LDC2009T13	NULL			A review of procedures has been ordered by the Ministry of Defense.
120	19924	NYT_ENG_20081118.0192.LDC2009T13	NULL			"Having said that, there is an enormous amount of work that is facing the Senate, and we all have to move on and work together to address these issues," Sanders said.
121	12977	LTW_ENG_20070124.0139.LDC2009T13	NULL			Oh, the agony, the nitpicking, the sighs.
122	9665	APW_ENG_20080306.0239.LDC2009T13	NULL			if they survived, they were sent on to work in America.
123	3879	AFP_ENG_20081217.0764.LDC2009T13	NULL			Here is a selection of the 10 best albums of the year selected by AFP.
124	3259	AFP_ENG_20080915.0273.LDC2009T13	NULL			'Lehman Brothers -- the fourth largest investment bank in the United States -- shook the world''s financial system on Monday by seeking bankruptcy protection.'
125	20177	NYT_ENG_20081227.0061.LDC2009T13	NULL			Neither my local bookstore nor Pantheon -- whose parent, Random House, announced this month it would cut costs by reducing five divisions to three -- nor the author got a share.
126	15722	NYT_ENG_20070401.0013.LDC2009T13	NULL			"The people who laugh together bond," Alleen Nilsen said.
127	10774	APW_ENG_20080525.0525.LDC2009T13	NULL			TV umpire: Ian Gould, England.
128	5035	APW_ENG_20070320.1337.LDC2009T13	NULL			The Pakistan coach died Sunday in hospital after being found unconscious in his hotel room.
129	14998	LTW_ENG_20081031.0044.LDC2009T13	NULL			'"It''s not like you go to Costco and pick up a kidney," Krikorian said.'
130	292	AFP_ENG_20070209.0210.LDC2009T13	NULL			It is at the heart of US charges that Iran is hiding work to develop nuclear weapons.
131	12018	APW_ENG_20081004.0102.LDC2009T13	NULL			"It was clear that Anna Nicole was unconscious during the videotaping, and even more disturbing, the videotape focused on areas of her nude body that were unrelated to the location of the surgery," he said in the declaration.
132	4839	APW_ENG_20070307.0215.LDC2009T13	NULL			The banded rat snake -- rarely found in Malaysia and protected under local laws and international wildlife treaties -- is an expensive delicacy in some Asian countries, the New Straits Times and The Star reported.
133	14861	LTW_ENG_20080929.0015.LDC2009T13	NULL			On the steps of the sanctuary, priests spoke of their emotional ties to generations of sailors, and of their unwillingness to hoist a Ukrainian flag.
134	14804	LTW_ENG_20080929.0015.LDC2009T13	NULL			Product makers want "national, uniform standards," said Robin Conrad, a lawyer for the U.S. Chamber of Commerce, not differentFrom E_M_A_I_L Sat Sep 27 14:00:38 2008 Return-Path: E_M_A_I_L X -Original-To: latwp@ldc.upenn.edu Delivered-To: latwp@ldc.upenn.edu Received: from iron.acquiremedia.com (prodmail.acquiremedia.com [63.236.87.105]) (using TLSv1 with cipher DHE-RSA-AES256-SHA (256/256 bits)) (No client certificate requested) by lorax.ldc.upenn.edu (Postfix) with ESMTP id 7F854B2503 for latwp@ldc.upenn.edu
135	1733	AFP_ENG_20071109.0598.LDC2009T13	NULL			Hong Kong was in third place with 13.7 percent of the total or 598.5 million dollars.
136	182	AFP_ENG_20070202.0012.LDC2009T13	NULL			It is the biggest private steel firm in India.
137	19864	NYT_ENG_20081108.0093.LDC2009T13	NULL			It has more to do with the balance of time.
138	4606	APW_ENG_20070219.0628.LDC2009T13	NULL			A string of bombings killed at least 15 people Monday in the Baghdad area, a day after a massive car bomb attack in a Shiite area market delivered the first major blow to the U.S.-led security crackdown.
139	56	AFP_ENG_20070104.0235.LDC2009T13	NULL			'The vehicle was on its way back to the soldiers'' base at Al Diwaniyah, southeast of Baghdad, the armed forces said in a statement.'
140	4354	APW_ENG_20070121.0531.LDC2009T13	NULL			This is the lesson of history."
141	19068	NYT_ENG_20080715.0116.LDC2009T13	NULL			"There must be what, 30 million basketball fans in this country?
142	7540	APW_ENG_20070907.0177.LDC2009T13	NULL			"Historically the anniversary of 9-11 has never been drawn to attacks.
143	2078	AFP_ENG_20080119.0274.LDC2009T13	NULL			'John, 44, who lives with 10,200 other people displaced by the violence in a tented camp in Eldoret, only two miles from his home, said the opposition politicians had a slogan: ''Kalenjins, with no other tribes remaining''.'
144	16613	NYT_ENG_20070723.0163.LDC2009T13	NULL			In many ways, consciously or not, all of us make these subtle tweaks in our communication styles all the time.
145	13231	LTW_ENG_20070404.0066.LDC2009T13	NULL			Vaccinating young women against the sexually transmitted virus is likely to make them more promiscuous.
146	15198	NYT_ENG_20070108.0110.LDC2009T13	NULL			Or they can move apart until their paths around the planet cause them to coalesce on the far side.
147	10686	APW_ENG_20080519.0518.LDC2009T13	NULL			'Pakistan''s military spokesman could not immediately be reached Monday but he has denied the previous incident.'
148	8677	APW_ENG_20071128.0730.LDC2009T13	NULL			'China''s rise as a global trading power obligates it to drop barriers preventing foreign competition in its domestic market and contributing to its ballooning trade surplus, the European Union''s top trade official said Wednesday.'
149	5443	APW_ENG_20070325.0005.LDC2009T13	NULL			'David Bena -- BEN''-uh'
150	13306	LTW_ENG_20070526.0073.LDC2009T13	NULL			'Earlier this week, al-Sadr''s representatives in the Baghdad slum dubbed Sadr City, after his revered father, met with Sunni sheiks who have rallied against al-Qaida in nearby al-Anbar province.'
151	2851	AFP_ENG_20080517.0296.LDC2009T13	NULL			The boat was not carrying any cargo at the time.
152	4907	APW_ENG_20070314.1213.LDC2009T13	NULL			3
153	10390	APW_ENG_20080423.0015.LDC2009T13	NULL			'Sukkot -- soo-KOHT'''
154	20643	XIN_ENG_20070523.0154.LDC2009T13	NULL			The deadline for design submission is June 25.
155	9635	APW_ENG_20080304.1376.LDC2009T13	NULL			'However, it said the assets in Daniel''s trust should be shared equally if she had future children.'
156	11039	APW_ENG_20080730.0965.LDC2009T13	NULL			It said a similar plan for intercontinental flights will follow soon.
157	15211	NYT_ENG_20070108.0110.LDC2009T13	NULL			"The most important thing to realize," he said, "is that modern geology is just a snapshot of a continuous-action movie.
158	472	AFP_ENG_20070221.0575.LDC2009T13	NULL			"That view must be qualified, however, by an unexpectedly large 0.8 percent jump in the medical care component -- the largest such reading since August 1991," he said.
159	8627	APW_ENG_20071120.1117.LDC2009T13	NULL			To compound the problems, Palma said, some of the products Venezuela looks to import, such as milk and sugar, are scarce internationally.
160	2453	AFP_ENG_20080408.0078.LDC2009T13	NULL			In London, the FTSE 100 index was down 0.41 percent at 5,990.20 while in Paris, the CAC 40 shed 0.65 percent to 4,912.69 and in Frankfurt the Dax fell 0.72 percent to 6,771.98.
161	22243	XIN_ENG_20081210.0194.LDC2009T13	NULL			'"China should be commended, and an expanded sustainable forestry will both offset carbon emissions and produce development dividends," said Oxley, adding that China''s efforts have largely been ignored at the climate talks in Poznan.'
162	9432	APW_ENG_20080226.0023.LDC2009T13	NULL			'"You don''t do that with a 15.5 percent or 16 percent alcohol wine," he added.'
163	2777	AFP_ENG_20080513.0583.LDC2009T13	NULL			A380 flights to Tokyo are to begin on May 20.
164	18766	NYT_ENG_20080508.0246.LDC2009T13	NULL			'A MAYOR '' S FALL FROM GRACE'
165	3448	AFP_ENG_20081012.0107.LDC2009T13	NULL			'Germany''s Timo Boll came from a set down to beat Belarussian Vladimir Samsonov 4-2 and be crowned European table tennis champion on Sunday.'
166	18959	NYT_ENG_20080710.0261.LDC2009T13	NULL			T representatives were unsure whether the same kind of lines that formed last year for the iPhone would reappear this time around.
167	13508	LTW_ENG_20070728.0017.LDC2009T13	NULL			John Fincham Jr., 72, of Winchester, has a penchant for his pendulum, an amethyst quartz stone hanging from a fine chain.
168	21980	XIN_ENG_20080923.0198.LDC2009T13	NULL			Xinhua world economic news summary at 0430 GMT, Sept. 23
169	21283	XIN_ENG_20080109.0113.LDC2009T13	NULL			'He said that the new futures market could thus help the country''s tighter monetary policy and alleviate inflation pressure.'
170	17221	NYT_ENG_20071024.0190.LDC2009T13	NULL			When Giuliani was asked in a recent interview if he could be viewed as an evenhanded broker when it came to Israeli- Palestinian issues, he questioned the premise of the question.
171	10413	APW_ENG_20080423.0015.LDC2009T13	NULL			TAM airlines -- tahm
172	16996	NYT_ENG_20070919.0124.LDC2009T13	NULL			So if you are spooning your yogurt and ordering from Amazon, you are on your lunch break, right?
173	2278	AFP_ENG_20080314.0244.LDC2009T13	NULL			'The United States raised doubts about whether Iranians had a "full menu of political choices" in Friday''s parliamentary elections, but declined to pronounce them unfair.'
174	5559	APW_ENG_20070325.0005.LDC2009T13	NULL			'Coeur d''Alene -- kohr duh-LAYN'''
175	900	AFP_ENG_20070502.0586.LDC2009T13	NULL			and STOXX Ltd., a joint venture with Frankfurt stock-exchange operator Deutsche Boerse and SWX Group.
176	4782	APW_ENG_20070225.0071.LDC2009T13	NULL			Yum Brands, the parent company of KFC-Taco Bell, said the incident was unacceptable and a violation of its high standards.
177	9716	APW_ENG_20080331.1340.LDC2009T13	NULL			Those who have been trained in traditional cardiopulmonary resuscitation can still opt to use it.
178	17265	NYT_ENG_20071108.0033.LDC2009T13	NULL			DECISION TIME FOR JACKSON: Still uncertain is whether Jackson will return beyond this season.
179	12696	APW_ENG_20081209.1278.LDC2009T13	NULL			Aaron Hunt threatened with a low shot but it narrowly missed the net.
180	11132	APW_ENG_20080806.0063.LDC2009T13	NULL			'Sullivan said the alleged thieves weren''t computer geniuses, just opportunists who used a technique called "wardriving," which involved cruising through different areas with a laptop and looking for accessible wireless Internet signals.'
181	4851	APW_ENG_20070311.0678.LDC2009T13	NULL			Israel has kept Karni closed often, citing security threats.
182	3642	AFP_ENG_20081113.0621.LDC2009T13	NULL			Microsoft worked with Sabi as part of an IP Ventures program that licenses propriety technology to startups in exchange for equity stakes in firms.
183	7614	APW_ENG_20070907.0462.LDC2009T13	NULL			Exporting uranium for nuclear power remains a touchy issue among many Australians, who are uneasy about its environmental impact and potential for weapons use.
184	9235	APW_ENG_20080118.0118.LDC2009T13	NULL			'It''s an interesting mix that eventually goes haywire toward the end, when Lichtenstein seems intent on one-upping the gross- out factor he''d established early on.'
185	13683	LTW_ENG_20070919.0152.LDC2009T13	NULL			He has also begun a "huge, expensive" Rand Corp. research study on detainee motivation and morale and has plans for a major communication campaign.
186	2087	AFP_ENG_20080121.0681.LDC2009T13	NULL			'A more relaxed policy towards China, the island''s largest export market and favorite investment site, has been a focus of the two presidential candidates.'
187	11886	APW_ENG_20080928.0527.LDC2009T13	NULL			Nico Rosberg, Germany, Williams, 61, 1:57:19.261.
188	20963	XIN_ENG_20071021.0175.LDC2009T13	NULL			Other international media such as the British Broadcasting Corporation (BBC), the Australian Associated Press and electronic and web news media of Singapore also issued reports on the closing of the CPC National Congress.
189	12697	APW_ENG_20081209.1278.LDC2009T13	NULL			'Substitute Mario Balotelli was left unmarked at the far post of Bremen''s goal in the 79th, but he headed high from close range.'
190	20629	XIN_ENG_20070517.0134.LDC2009T13	NULL			COLOMBO -- Share prices on the Colombo Stock Exchange closed down on Thursday, with the key Colombo All Share Price Index decreasing by 32.02 points or 1.27 percent to close at 2,493.87 points.
191	11824	APW_ENG_20080918.1157.LDC2009T13	NULL			'The space center shut down a few days before Ike''s strike.'
192	13818	LTW_ENG_20071015.0003.LDC2009T13	NULL			The VA mileage rate has not changed since 1977.
195	4739	APW_ENG_20070224.0104.LDC2009T13	NULL			"The city government had contracted a robotic camera system to go down there, but the disaster occurred first."
196	1192	AFP_ENG_20070718.0107.LDC2009T13	NULL			Centre-left daily El Pais dedicated an entire page to the US priest sex scandal on Wednesday under the headline: "The abuse that did not go to trial".
197	6131	APW_ENG_20070510.1782.LDC2009T13	NULL			"The (U.S.) government is working very hard on this.
198	3712	AFP_ENG_20081126.0638.LDC2009T13	NULL			The group, which now employs 900 in its head office, said about two-thirds of the job cuts would be made in 2009.
202	14721	LTW_ENG_20080802.0036.LDC2009T13	NULL			Every concert takes another little piece of my heart with the final encore.
203	19418	NYT_ENG_20080825.0224.LDC2009T13	NULL			Joey Galloway, who missed all of training camp and all three preseason games with a groin strain, practiced at full speed for the first time Monday.
204	8492	APW_ENG_20071111.0643.LDC2009T13	NULL			Manchester United moved ahead of Arsenal, but the Gunners can move back into first place on Monday when they visit Reading.
205	12812	CNA_ENG_20070921.0025.LDC2009T13	NULL			'Although the money is left up to the administrative chief''s discretion, half of the fund can be spent without any proof of spending, while use of the other half must be substantiated with receipts.'
207	13292	LTW_ENG_20070526.0073.LDC2009T13	NULL			'Al-Sadr''s return to a public platform comes as frustration is mounting with the fractured government'
208	20124	NYT_ENG_20081221.0031.LDC2009T13	NULL			-- Anya
209	16543	NYT_ENG_20070705.0126.LDC2009T13	NULL			276 pages.
210	59	AFP_ENG_20070104.0235.LDC2009T13	NULL			'Lawmakers in Latvia, which is a staunch ally of the United States, voted three weeks ago to extend the mission of the Baltic state''s troops in Iraq by one more year.'
211	16103	NYT_ENG_20070520.0148.LDC2009T13	NULL			There is no privacy.
212	6880	APW_ENG_20070716.1418.LDC2009T13	NULL			CNN, in its statement, noted that it has given Moore multiple opportunities to discuss his concerns about the report on the air.
213	20746	XIN_ENG_20070818.0166.LDC2009T13	NULL			A video clip shot by sailors aboard U.S. nuclear-powered aircraft carrier Ronald Reagan has been pulled off the YouTube video sharing website after Navy officials complained it might compromise security, a report said Saturday.
214	12838	CNA_ENG_20071030.0033.LDC2009T13	NULL			Customs officials stopped and questioned them after discovering that they were holding fake passports, the officials noted.
215	14945	LTW_ENG_20081031.0044.LDC2009T13	NULL			Such patients are at increased risk of heart attacks and infections.
216	16226	NYT_ENG_20070602.0129.LDC2009T13	NULL			"The theory is ginseng would help the body moderate the negative things going on," she said.
217	6494	APW_ENG_20070614.0263.LDC2009T13	NULL			Crude oil inventories rose by 100,000 barrels last week, when analysts had expected a 400,000-barrel decline.
219	15110	NYT_ENG_20070108.0110.LDC2009T13	NULL			LONG-TERM GLOBAL FORECAST?
220	17845	NYT_ENG_20080202.0017.LDC2009T13	NULL			'But it''s perfect for, say, water.'
221	10054	APW_ENG_20080423.0015.LDC2009T13	NULL			'Raila Odinga -- ry-EE''-luh oh-DING''-uh'
222	19756	NYT_ENG_20081017.0103.LDC2009T13	NULL			'Unlike McCain, who''s only willing to tackle immigration in Spanish so he won''t get burned by his party''s more restrictionist base, de Jesus said, Obama shares his views in both languages.'
223	12909	CNA_ENG_20081117.0007.LDC2009T13	NULL			Tsai said that the M.D. Anderson Cancer in Houston, ranked as the top U.S. facility for cancer care, forged sisterhood ties with the Taiwan hospital in June in an effort to introduce advanced technology for cancer diagnosis and treatment to Taiwan through the hospital.
224	5096	APW_ENG_20070321.1122.LDC2009T13	NULL			JERUSALEM 2007-03-21 17:05:02 UTC
225	1381	AFP_ENG_20070828.0366.LDC2009T13	NULL			Ahmadinejad, who has long boasted of his ability to work hard, said he is often at his desk by 5:30 am and sometimes does not leave until after midnight.
226	14551	LTW_ENG_20080529.0008.LDC2009T13	NULL			serving a decent meal when necessary
227	1880	AFP_ENG_20071207.0235.LDC2009T13	NULL			An internal IMF group advising the organization has recommended that the fund sell some of its valuable gold reserves and invest the proceeds in income- generating assets in a bid to improve its financial stance.
228	20450	XIN_ENG_20070313.0267.LDC2009T13	NULL			MOSCOW, March 13 (Xinhua)
229	21886	XIN_ENG_20080901.0111.LDC2009T13	NULL			The Pakistani Adviser to Prime Minister on Interior Rehman Malik Monday said all-out efforts were underway to recover two missing Chinese engineers.
230	11556	APW_ENG_20080814.0003.LDC2009T13	NULL			John Heilprin at the United Nations
231	12009	APW_ENG_20081004.0102.LDC2009T13	NULL			'The order settles alawsuit filed last year by Howard K. Stern, the executor of Smith''s estate, who was trying to stop Dr. Gerald Johnson and his wife from distributing the tapes of the former Playboy Playmate and reality star who died last year.'
232	5555	APW_ENG_20070325.0005.LDC2009T13	NULL			'Richard Cizik -- SY''-zik'
233	19591	NYT_ENG_20080930.0156.LDC2009T13	NULL			The concept of a third term has broad support among City Council members, business leaders and newspaper editorial boards, all of whom Bloomberg has assiduously courted behind the scenes.
234	12103	APW_ENG_20081010.0035.LDC2009T13	NULL			NATO officials explained that it could, for example, allow U.S. planes to bomb drug labs in northern Afghanistan without involving the German troops based there.
235	18721	NYT_ENG_20080501.0011.LDC2009T13	NULL			Looking ahead over the next three years, the company expects profit per share of 90 cents to $1 in 2009, $1.10 to $1.20 in 2010 and $1.35 to $1.50 in 2011.
237	13582	LTW_ENG_20070816.0142.LDC2009T13	NULL			He spoke on the condition of anonymity because he was not cleared to speak to reporters.
238	4179	APW_ENG_20070111.0138.LDC2009T13	NULL			It makes for a pleasant evening stroll through the snow around the shore of the partially iced-over Emerald Bay, listening to the honking of hundreds of Canada geese.
239	5188	APW_ENG_20070325.0005.LDC2009T13	NULL			Shinzo Abe -- shin-zoh ah-bay
240	19045	NYT_ENG_20080715.0116.LDC2009T13	NULL			when it assesses the impact of an immigrant like Boston boxing champ John L. Sullivan on his community
241	13581	LTW_ENG_20070816.0142.LDC2009T13	NULL			'``We would want them to say whether they stand by all the information in the report.'''''
243	19797	NYT_ENG_20081105.0163.LDC2009T13	NULL			Whether Democrat or Republican, incumbents won across the board in the Tampa Bay area with just three exceptions a Republican Hillsborough commissioner with a truckload of baggage, and the two Democratic Hernando commissioners.
244	15306	NYT_ENG_20070208.0083.LDC2009T13	NULL			FASHION
245	271	AFP_ENG_20070208.0323.LDC2009T13	NULL			NATO expanded its operations from Kabul and the relatively quiet north and west of the conflict-torn country, to the south and east, where a resurgent Taliban militia has opposed it.
246	10537	APW_ENG_20080423.0015.LDC2009T13	NULL			Wii -- wee
247	4969	APW_ENG_20070316.0001.LDC2009T13	NULL			The Marine sergeant said he regretted the deaths.
248	12227	APW_ENG_20081021.0609.LDC2009T13	NULL			The Maplewood, Minnesota-based company said net income edged higher to $991 million, or $1.41 per share, from $960 million, or $1.32 per share, a year ago.
249	2892	AFP_ENG_20080528.0524.LDC2009T13	NULL			Germany on Wednesday pledged half a billion euros (785 million dollars) to help defend threatened forests and called on others to join its effort as a UN conference on biodiversity engaged top gear.
250	4028	APW_ENG_19981029.1082.LDC2007T07	NULL			'The man said Yassin''s first appointment outside his home was Friday morning and that he had not planned to go out before then.'
251	18541	NYT_ENG_20080330.0100.LDC2009T13	NULL			'We''re down again after ((Reich)) left, and everyone pulled up their socks again, so congrats to everyone for standing in there."'
252	647	AFP_ENG_20070320.0189.LDC2009T13	NULL			Under the plan, Kosovo would have its own constitution but would "for an initial phase" be placed under the international monitoring of "civilian personnel" named by the European Union.
253	20788	XIN_ENG_20070903.0046.LDC2009T13	NULL			'The basic principles designate that the country''s administrative regions will, as similar to the present, be demarcated as seven regions (now known as divisions) and seven states of national races, and six other ethnic minorities who will have their self- administered zones or higher-level division.'
255	10796	APW_ENG_20080531.0072.LDC2009T13	NULL			They said the International Red Cross was waiting for permission to send 30 foreign staffers into the delta.
256	325	AFP_ENG_20070209.0733.LDC2009T13	NULL			'"I''m 100 percent confident that if best practice in process and technology were applied to testing my sample back in July, I would be racing my bike this season," Landis said.'
257	9409	APW_ENG_20080217.0500.LDC2009T13	NULL			2008-02-17 15:25:56 UTC
258	8246	APW_ENG_20071015.0723.LDC2009T13	NULL			July 16-22 -- Internazionali Femminili di Tennis di Palermo, RCO (Agnes Szavay)
259	2501	AFP_ENG_20080418.0285.LDC2009T13	NULL			It is a national movement."
260	15723	NYT_ENG_20070401.0013.LDC2009T13	NULL			'Making fun of one''s self also is fairly safe.'
261	16845	NYT_ENG_20070907.0024.LDC2009T13	NULL			In the statement, Wuterich took responsibility for his decisions in the heat of battle to kill people in the two houses who he said were suspected of being armed insurgents, and for the order he gave to his men to "shoot first, ask questions later."
262	9431	APW_ENG_20080226.0023.LDC2009T13	NULL			One definition of the "right" alcohol level is if two people can finish a bottle and "wish there was a little bit more," said Dunn.
263	14027	LTW_ENG_20071202.0013.LDC2009T13	NULL			'"Despite the Tunisian government''s attempts to ban the veil, beards, and to jail Islamists, there''s a religious revival in the nation.'
264	2457	AFP_ENG_20080415.0196.LDC2009T13	NULL			Egypt said on Sunday it would step up airport security procedures for British officials after airport authorities tried to physically search Shenuda, 84, who has a diplomatic passport, before he boarded his flight.
265	143	AFP_ENG_20070129.0392.LDC2009T13	NULL			The appointment was announced by royal decree on Monday.
266	8006	APW_ENG_20070924.0721.LDC2009T13	NULL			Toss: won by India.
267	10265	APW_ENG_20080423.0015.LDC2009T13	NULL			'Almutah Saunders -- al-MOO''-tuh'
268	5626	APW_ENG_20070325.0005.LDC2009T13	NULL			'Duquesne University -- doo-KAYN'''
269	12843	CNA_ENG_20071204.0045.LDC2009T13	NULL			'Two Germans win Taiwan''s Tsungming Tu Award'
270	6263	APW_ENG_20070531.0102.LDC2009T13	NULL			Elkassim Britel, an Italian citizen, in May 2002
271	3256	AFP_ENG_20080915.0273.LDC2009T13	NULL			It has lost 34.3 percent since the start of the year.
272	15463	NYT_ENG_20070222.0015.LDC2009T13	NULL			Roads are still congested.
273	2649	AFP_ENG_20080429.0359.LDC2009T13	NULL			a comment piece in the Beijing News asked.
274	16992	NYT_ENG_20070919.0124.LDC2009T13	NULL			Lawsuits brought under the Fair Labor Standards Act, by employees claiming they had been illegally declared ineligible and demanding back overtime pay, have increased by 50 percent since the changes were made, mostly in the form of large class-action suits.
275	6474	APW_ENG_20070613.1615.LDC2009T13	NULL			Cleveland will be the next chance for fans to see the standing start, which Champ Car is expected to use the remainder of the season.
276	12721	APW_ENG_20081229.0589.LDC2009T13	NULL			many in the crowd shouted.
277	15453	NYT_ENG_20070222.0015.LDC2009T13	NULL			'On Wednesday, the commission began a two-day hearing with California transit officials at the Metropolitan Transportation Authority''s downtown Los Angeles office to discuss the region''s needs.'
278	10320	APW_ENG_20080423.0015.LDC2009T13	NULL			'Cindy Sheehan -- SHEE''-han'
279	447	AFP_ENG_20070219.0134.LDC2009T13	NULL			Media speculation about the identity of the bomber has focused on a disgruntled motorist or animal rights extremists.
280	9095	APW_ENG_20080112.0203.LDC2009T13	NULL			Transparency International says Suharto and his family also amassed billions of dollars in state funds -- an allegation he has denied.
